Highlight,Title,Author,URL,Note,Location,Location Type,Date
"it is time for us to reclaim our right to a full night of sleep, without embarrassment or the damaging stigma of laziness. In doing so, we can be reunited with that most powerful elixir of wellness and vitality, dispensed through every conceivable biological pathway. Then we may remember what it feels like to be truly awake during the day, infused with the very deepest plenitude of being.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,1,order,2025-10-12 19:38:00
This silent sleep loss epidemic is the greatest public health challenge we face in the twenty-first century in developed nations.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,2,order,2025-10-12 19:37:00
"Rather than required hours with relatively hard boundaries (i.e., the classic nine to five), businesses need to adapt a far more tapered vision of hours of operation, one that resembles a squished inverted-U shape. Everyone would be present during a core window for key interactions—say, twelve to three p.m. Yet there would be flexible tail ends either side to accommodate all individual chronotypes.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,3,order,2025-10-12 15:14:00
"Based on recent surveys and clinical evaluations, we estimate that more than 50percent of all children with an ADHD diagnosis actually have a sleep disorder, yet a small fraction know of their sleep condition and its ramifications.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,4,order,2025-10-12 14:47:00
"It is clear that a tired, under-slept brain is little more than a leaky memory sieve, in no state to receive,absorb, or efficiently retain an education.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,5,order,2025-10-12 14:41:00
"One longitudinal study tracked more than 5,000 Japanese schoolchildren and discovered that those individuals who were sleeping longer obtained better grades across the board. Controlled sleep laboratory studies in smaller samples show that children with longer total sleep times develop superior IQ, with brighter children having consistently slept forty to fifty minutes more than those who went on to develop a lower IQ.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,6,order,2025-10-12 14:37:00
"Published in his seminal papers and book Genetic Studies of Genius, Terman found that no matter what the age, the longer a child slept, the more intellectually gifted they were. He further found that sleep time was most strongly connected to a reasonable (i.e., a later) school start time: one that was in harmony with the innate biological rhythms of these young, still-maturing brains.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,7,order,2025-10-12 14:35:00
It is the lack of REM sleep—that critical stage occurring in the final hours of sleep that we strip from our children and teenagers by way of early school start times—that creates the difference between a stable and unstable mental state.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,8,order,2025-10-12 14:33:00
"In the mid-1990s, NASA refined the science of sleeping on the job for the benefit of their astronauts. They discovered that naps as short as twenty-six minutes in length still offered a 34 percent improvement in task performance and more than a 50 percent increase in overall alertness.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,9,order,2025-10-12 14:23:00
"in the days after a supervisor had slept poorly, the employees themselves, even if well rested, became less engaged in their jobs throughout that day as a consequence. It was a chain-reaction effect, one in which the lack of sleep in that one superordinate person in a business structure was transmitted on like a virus, infecting even well-rested employees with work dis",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,10,order,2025-10-12 14:18:00
